team,opponent,location,opponent_trend_predict,location_trend_predict,current_trend_predict,runs_scored
Pakistan,India,Jaipur,249.4,225.20767297843327,226.59473684210525,306
South Africa,New Zealand,Port Elizabeth,165.0,228.9,236.34736842105264,209
New Zealand,South Africa,Cape Town,215.0,242.87427071415667,244.5421052631579,238
New Zealand,Australia,Adelaide,264.6,219.0,246.06315789473683,254
Australia,New Zealand,Hobart,366.6,335.66666666666663,308.43684210526317,282
New Zealand,Bangladesh,Napier,245.33333333333334,340.1,248.05789473684212,335
Bangladesh,New Zealand,Queenstown,210.8,135.4763385153986,183.50526315789475,93
West Indies,South Africa,Centurion,109.40000000000002,223.49042559667737,259.64210526315793,175
South Africa,West Indies,Cape Town,327.2,269.6,221.43684210526314,255
West Indies,South Africa,Durban,232.8,230.01371661610384,245.8578947368421,263
West Indies,South Africa,Johannesburg,265.20000000000005,453.9999999999999,255.27894736842106,295
Australia,Sri Lanka,Sydney,359.4,344.49999999999994,304.7,253
England,New Zealand,Wellington,252.3,228.49110047192218,252.81578947368422,130
Australia,India,Melbourne,255.10000000000002,259.9,298.0157894736842,159
India,Sri Lanka,Canberra,318.1,281.0284589741897,269.56315789473683,195
England,New Zealand,Hamilton,198.4,204.30838737980505,236.68947368421053,158
New Zealand,England,Auckland,284.79999999999995,248.4,265.4789473684211,234
Australia,Sri Lanka,Perth,305.5,330.0,272.1315789473684,236
Australia,India,Adelaide,135.7,298.5,256.59999999999997,203
Sri Lanka,India,Adelaide,255.39999999999998,330.0,231.0,238
Australia,Sri Lanka,Melbourne,207.50000000000003,155.29999999999998,237.23157894736843,184
England,New Zealand,Christchurch,111.4,225.8831880602674,235.17894736842106,242
Australia,India,Sydney,132.79999999999998,326.90000000000003,214.64736842105262,317
Sri Lanka,India,Hobart,243.4,247.92403767286478,216.25263157894736,179
Sri Lanka,Australia,Melbourne,258.1,241.99999999999997,205.0842105263158,221
Australia,India,Sydney,240.79999999999998,323.7,225.22105263157894,239
India,Australia,Brisbane,210.3,410.99999999999994,263.7842105263158,258
Pakistan,Bangladesh,Lahore,254.5,279.7,233.81052631578947,322
Sri Lanka,West Indies,Port of Spain,289.8,190.00000000000006,203.04736842105262,235
Bangladesh,Pakistan,Faisalabad,211.9,162.656518050329,160.7473684210526,225
