batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,no_of_matches_batsman,batsman_score,batsman_quantile
RAS Lakmal,Sri Lanka,104,0.6153846153846154,8.0,1.8461268490271732,7.4362928929654295,1,0.0029985007496251873,1.1124437781109446,0.10814761408717503,13,3.321827679646911,2
JP Faulkner,Australia,79,0.6528925619834711,13.166666666666666,4.155460768679217,7.007028241543975,0,0.01507208387942333,0.8730214739389051,0.10674196607916626,6,3.3133876203307677,2
M Morkel,South Africa,0,0.0,0.0,8.662839713938807,10.0,0,0.0,0.0,0.0,1,3.3035514674975284,2
Mohammad Amir,Pakistan,62,0.775,12.4,7.256554212631874,3.6935939847488077,0,0.011794439764111205,0.7864746879068699,0.09886946477802763,5,3.2453058838781335,2
SW Ambris,West Indies,38,1.3103448275862069,38.0,1.0,7.325930073207967,0,0.0,0.0,0.0,1,3.2444115729959693,2
DS Weerakkody,Sri Lanka,73,1.0895522388059702,24.333333333333332,1.8461268490271732,8.662839713938807,0,0.0,0.0,0.03417264344677087,3,3.2021993268696183,2
L Ronchi,New Zealand,54,0.75,9.0,5.1362534056841165,5.191449630596524,0,0.013090229079008883,1.1117344553529687,0.09382332813010019,6,3.1911086722190416,2
PJ Cummins,Australia,81,0.7714285714285715,11.571428571428571,4.155460768679217,7.434595635609122,0,0.010484927916120577,0.4644206306375761,0.06747843444650488,7,3.181929169836502,2
Imrul Kayes,Bangladesh,119,0.7777777777777778,29.75,2.1656960941645207,8.328612303756097,0,0.0,0.0,0.035305725243424235,4,3.180519768611861,2
Kuldeep Yadav,India,21,0.6363636363636364,7.0,10.0,2.3338625392354633,1,0.0,0.0,0.09578262852211514,3,3.1562855930962326,2
Mohammad Saifuddin,Bangladesh,16,1.3333333333333333,16.0,2.1656960941645207,8.662839713938807,0,0.0,0.0,0.0,1,3.1403995929099087,2
AR Patel,India,5,0.8333333333333334,5.0,10.0,4.155460768679217,0,0.0,0.0,0.0,1,3.136863772597227,2
Kamran Akmal,Pakistan,68,0.8717948717948718,22.666666666666668,7.256554212631874,1.0,0,0.008845829823083403,0.8949539552043693,0.0424731530641258,3,3.0982475394550706,2
LD Chandimal,Sri Lanka,231,0.5620437956204379,17.76923076923077,1.8461268490271732,7.117082793836578,0,0.031484257871064465,0.6313870091981036,0.05702421740578722,13,3.08529853161497,2
TAM Siriwardana,Sri Lanka,144,0.7912087912087912,14.4,1.8461268490271732,7.061416325148842,0,0.017991004497751123,0.8343328335832084,0.07855664492502228,10,3.0688602804933227,2
AS Joseph,West Indies,45,0.8035714285714286,11.25,1.0,8.64562107145996,0,0.010706638115631691,0.8217344753747323,0.11256817715933624,4,2.955426798497692,2
R Powell,West Indies,164,0.8677248677248677,20.5,1.0,7.781287128874016,0,0.004282655246252677,0.2921722579110159,0.05093637654124961,8,2.896459515497586,2
PWH de Silva,Sri Lanka,33,0.868421052631579,11.0,1.8461268490271732,10.0,0,0.0,0.0,0.09853292781642932,3,2.889922464918313,2
SS Pathirana,Sri Lanka,141,0.7621621621621621,20.142857142857142,1.8461268490271732,8.11672213570282,0,0.0,0.0,0.05095526635333649,7,2.8237088251613094,2
Mohammed Shami,India,7,0.875,3.5,10.0,2.5777303843396084,0,0.0,0.0,0.282842712474619,2,2.8027201768475374,2
KMDN Kulasekara,Sri Lanka,31,0.7948717948717948,7.75,1.8461268490271732,7.038553808995235,0,0.0014992503748125937,1.1124437781109446,0.12411432056761817,4,2.790542411079497,2
Asad Shafiq,Pakistan,18,0.46153846153846156,9.0,7.256554212631874,4.155460768679217,0,0.005475989890480202,0.5540191151265142,0.17677669529663687,2,2.7782999140068707,2
Soumya Sarkar,Bangladesh,148,0.7789473684210526,18.5,2.1656960941645207,5.636222962781684,0,0.016270337922403004,0.5471654382793306,0.04548140190915128,8,2.7713177184060673,2
PC de Silva,Sri Lanka,14,1.0,14.0,1.8461268490271732,8.662839713938807,0,0.0,0.0,0.0,1,2.767876744102575,2
NM Coulter-Nile,Australia,8,0.36363636363636365,4.0,4.155460768679217,10.0,0,0.0,0.0,0.17677669529663687,2,2.7634781787332487,2
