batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score,batsman_quantile
NM Lyon,Australia,27,1.125,4.5,3.4241371531694114,3.1038518381260314,0,0.00023250406882120437,0.26476400837014646,0.23124864503144013,2.388220933733529,3
JM Vince,England,90,0.9782608695652174,22.5,3.1736080586080586,2.0502312338199435,0,0.01986408782017773,0.9534762153685312,0.052010958129557215,2.3846032462688656,3
AD Hales,England,105,0.9375,52.5,3.1736080586080586,0.8532234432234432,0,0.021432305279665446,0.9876006272869838,0.02396972139615415,2.3792480603944632,3
Sarfraz Ahmed,Pakistan,372,0.9587628865979382,26.571428571428573,1.9791734609476543,2.196754044726396,0,0.04486586493987049,1.0088285747644665,0.03723315118274774,2.3712108501620923,3
PM Siddle,Australia,10,0.8333333333333334,5.0,3.4241371531694114,3.581206965077933,0,0.0,0.0,0.1414213562373095,2.3632563304691288,3
Soumya Sarkar,Bangladesh,437,0.9337606837606838,29.133333333333333,0.6692514474772538,2.040062407126923,0,0.18148487626031165,1.0851085271689838,0.04500601191884342,2.353395714376096,3
JJ Bumrah,India,7,0.875,1.75,3.581206965077933,3.4241371531694114,0,0.0,0.0,0.3481553119113957,2.3349467883759334,3
YS Chahal,India,23,0.5227272727272727,5.75,3.581206965077933,3.0365181592600945,1,0.0,0.0,0.11764705882352941,2.322134197904944,3
Kuldeep Yadav,India,40,0.5405405405405406,5.714285714285714,3.581206965077933,2.9830315767182123,0,0.000785751702462022,0.8167888947092719,0.18286467796121775,2.3164930733095845,3
DJ Willey,England,14,1.2727272727272727,14.0,3.1736080586080586,1.9791734609476543,0,0.0036591740721380033,1.1496459630280853,0.0,2.309481281242034,3
MJ Santner,New Zealand,108,0.72,10.8,2.9073118279569887,2.3310836153094217,0,0.01808439383791025,1.5637977227059612,0.1560469459830898,2.278858331147007,3
Umar Akmal,Pakistan,150,0.8670520231213873,30.0,1.9791734609476543,3.4241371531694114,0,0.0,0.0,0.0564782494724905,2.265979057593719,3
AL Phehlukwayo,South Africa,198,0.782608695652174,22.0,1.7985702469573437,2.27905296614974,1,0.04743833017077799,0.9365072596635609,0.04236185422741274,2.2619154171683564,3
Shubman Gill,India,16,0.5,8.0,3.581206965077933,2.9073118279569887,0,0.0018334206390780514,0.6930330015715034,0.7071067811865475,2.2599868907461307,3
A Zampa,Australia,11,0.5789473684210527,3.6666666666666665,3.4241371531694114,3.5812069650779335,0,0.0,0.0,0.2641352718976871,2.2415591616855988,3
Usman Shinwari,Pakistan,6,1.0,2.0,1.9791734609476543,3.4241371531694114,2,0.0,0.0,0.2886751345948129,2.2388180017401544,3
MA Starc,Australia,68,0.8717948717948718,8.5,3.4241371531694114,2.285642865199317,0,0.0046500813764240876,0.8146584872927585,0.10441947515323594,2.2285095019137984,3
Mohammed Shami,India,16,0.6956521739130435,2.0,3.581206965077933,2.372444846819847,1,0.0010476689366160294,0.4840230487166055,0.3818813079129867,2.22611178896807,3
BKG Mendis,Sri Lanka,422,0.7092436974789916,30.142857142857142,0.8184408602150538,2.0682961738722105,0,0.16555308092056423,0.855546572291546,0.05602496684061734,2.2242383757773254,3
Shoaib Malik,Pakistan,219,0.8171641791044776,21.9,1.9791734609476543,2.8613083529373853,0,0.009250693802035153,0.8240233402120544,0.053091940166875407,2.216249909646287,3
IS Sodhi,New Zealand,17,0.8947368421052632,5.666666666666667,2.9073118279569887,3.5288503611084256,0,0.0,0.0,0.16590037908279934,2.2072765092727975,3
Mohammad Hasnain,Pakistan,28,1.5555555555555556,14.0,1.9791734609476543,3.298872605888735,0,0.0,0.0,0.050507627227610534,2.200773026090043,3
KA Pollard,West Indies,74,1.3962264150943395,37.0,0.8532234432234432,3.581206965077933,0,0.0,0.0,0.019110994086122903,2.1861293639171455,3
TK Curran,England,60,1.2244897959183674,15.0,3.1736080586080586,1.4161984520855488,0,0.015682174594877155,1.1782085956499013,0.05767098360815943,2.1860849957134643,3
KK Ahmed,India,5,0.8333333333333334,5.0,3.581206965077933,2.9073118279569887,0,0.0,0.0,0.0,2.1819556010939545,3
TD Astle,New Zealand,10,0.625,10.0,2.9073118279569887,3.581206965077933,0,0.0,0.0,0.0,2.166413202034541,3
JP Duminy,South Africa,101,1.0520833333333333,20.2,1.7985702469573437,2.333328896909542,0,0.028462998102466792,1.4288425047438331,0.05738225406856029,2.153637570173464,3
MD Shanaka,Sri Lanka,143,1.1349206349206349,35.75,0.8184408602150538,1.883727549332388,0,0.022271714922048998,2.400572701240853,0.03639573491241177,2.1442968544784042,3
KMA Paul,West Indies,46,1.0454545454545454,46.0,0.8532234432234432,3.581206965077933,0,0.0,0.0,0.0,2.1398850597728902,2
AU Rashid,England,74,0.9736842105263158,9.25,3.1736080586080586,1.849232138828913,0,0.007841087297438577,1.1291165708311552,0.1099062271884804,2.1317101809759977,2
NLTC Perera,Sri Lanka,327,1.2293233082706767,27.25,0.8184408602150538,2.4726443269991654,1,0.002969561989606533,0.497896560257362,0.02402452627223757,2.1131431523045254,2
Liton Das,Bangladesh,171,1.0,24.428571428571427,0.6692514474772538,2.6513823580413436,0,0.08615948670944087,1.3478648468791985,0.03022055137927774,2.110985619468399,2
JC Archer,England,13,0.6190476190476191,2.6,3.1736080586080586,2.1855267098492903,0,0.0020909566126502874,1.8065865133298484,0.3834824944236852,2.1077546732132975,2
Shan Masood,Pakistan,111,0.75,22.2,1.9791734609476543,3.4241371531694114,0,0.0,0.0,0.04471241796047325,2.084386984947997,2
JL Denly,England,17,0.8095238095238095,17.0,3.1736080586080586,1.9791734609476543,0,0.004443282801881861,0.7312373982525577,0.0,2.06551406413456,2
DA Miller,South Africa,237,0.8586956521739131,26.333333333333332,1.7985702469573437,1.8568162005258775,0,0.051233396584440226,0.9280111113284688,0.09407208683835973,2.0445643902839525,2
AK Markram,South Africa,164,0.7663551401869159,27.333333333333332,1.7985702469573437,2.16198713472907,0,0.03984819734345351,0.9590860648280523,0.06584269219592206,2.0432625602771446,2
MD Gunathilaka,Sri Lanka,292,0.8248587570621468,58.4,0.8184408602150538,2.5360564811532553,0,0.0,0.0,0.021462983591284884,2.0307102581651924,2
LH Ferguson,New Zealand,18,0.5806451612903226,4.5,2.9073118279569887,2.8139506327006325,0,0.0013395847287340924,0.8340254521098459,0.19011727515734336,2.0162156357754064,2
MM Ali,England,114,0.8028169014084507,11.4,3.1736080586080586,1.6517512433802757,0,0.01280710925248301,0.835120180690213,0.0713800300900201,1.9983673630582168,2
Iftikhar Ahmed,Pakistan,60,1.3953488372093024,30.0,1.9791734609476543,0.8184408602150538,0,0.027752081406105456,1.49474001247768,0.35355339059327373,1.948993682319983,2
B Stanlake,Australia,0,0.0,0.0,3.4241371531694114,3.581206965077933,0,0.0,0.0,0.0,1.9460603670079615,2
CR Brathwaite,West Indies,206,1.0,25.75,0.8532234432234432,2.9281911301064527,0,0.017241379310344827,0.6042319749216302,0.02941267341595953,1.940852758158341,2
FDM Karunaratne,Sri Lanka,289,0.7153465346534653,32.111111111111114,0.8184408602150538,1.9717568930472156,0,0.09651076466221233,0.7787954217929326,0.03245519935963815,1.9008526646627932,2
Tamim Iqbal,Bangladesh,331,0.6541501976284585,22.066666666666666,0.6692514474772538,2.040062407126923,0,0.15123739688359303,0.7444530484528588,0.042255197620943645,1.8965825226576127,2
TL Seifert,New Zealand,33,1.1785714285714286,16.5,2.9073118279569887,0.8184408602150538,0,0.011051574012056262,1.2286982106975408,0.128564869306645,1.8681737691681541,2
K Pierre,West Indies,21,1.1666666666666667,21.0,0.8532234432234432,3.581206965077933,0,0.0,0.0,0.0,1.8385863598827923,2
Faheem Ashraf,Pakistan,58,0.9354838709677419,11.6,1.9791734609476543,2.9988121341024567,0,0.0,0.0,0.09079660281786227,1.833421778156871,2
GSNFG Jayasuriya,Sri Lanka,112,0.9105691056910569,37.333333333333336,0.8184408602150538,1.5425327897908543,0,0.009651076466221232,2.080496341075406,0.019587771123663934,1.8209590661011639,2
HDRL Thirimanne,Sri Lanka,179,0.8136363636363636,25.571428571428573,0.8184408602150538,2.1990682512571915,0,0.05196733481811433,1.2064416652389927,0.04949005173197812,1.8196586214145654,2
JD Campbell,West Indies,69,0.8846153846153846,17.25,0.8532234432234432,3.1736080586080586,0,0.03183023872679045,0.5985637575208643,0.08034353351801439,1.8009404318135123,2
PWH de Silva,Sri Lanka,52,1.2380952380952381,17.333333333333332,0.8184408602150538,1.5425327897908543,0,0.008908685968819599,2.688641425389755,0.09078412990032037,1.784102852307529,2
Yasir Shah,Pakistan,25,0.6944444444444444,6.25,1.9791734609476543,3.4241371531694114,0,0.0,0.0,0.20033416898825332,1.7839661777270002,2
Mahmudullah,Bangladesh,276,0.7540983606557377,23.0,0.6692514474772538,2.1094401879482527,0,0.06966086159486709,1.1048986658519198,0.05209001354956138,1.7804314172611775,2
TG Southee,New Zealand,8,0.42105263157894735,4.0,2.9073118279569887,1.9960244594115562,1,0.0003348961821835231,0.5212659075686537,0.23570226039551587,1.7794462684095147,2
I Udana,Sri Lanka,114,0.95,14.25,0.8184408602150538,2.4394751753622717,1,0.0066815144766146995,0.9165823041101439,0.03795362190057692,1.7598710956990102,2
Wahab Riaz,Pakistan,76,1.2063492063492063,10.857142857142858,1.9791734609476543,1.6508102956950883,0,0.006012950971322849,1.0712303422756706,0.06192104498129598,1.7532771029060892,2
PWA Mulder,South Africa,17,1.5454545454545454,17.0,1.7985702469573437,0.8184408602150538,0,0.010752688172043012,1.7174975562072334,0.0,1.7461279119256277,2
D Pretorius,South Africa,3,0.375,1.5,1.7985702469573437,3.298872605888735,1,0.001265022137887413,0.31752055660974066,1.414213562373095,1.7452502098396176,2
CH Morris,South Africa,74,1.1746031746031746,18.5,1.7985702469573437,2.2842359253649573,0,0.0,0.0,0.061740943396474415,1.728347863030951,2
Junaid Khan,Pakistan,5,0.625,5.0,1.9791734609476543,3.4241371531694114,0,0.0,0.0,0.0,1.7234979507194144,2
S Dube,India,9,1.2857142857142858,9.0,3.581206965077933,0.8532234432234432,0,0.0,0.0,0.0,1.7190253725273459,2
AR Nurse,West Indies,134,1.098360655737705,19.142857142857142,0.8532234432234432,2.4558251502721546,0,0.017241379310344827,0.781947261663286,0.07758167692833726,1.7178748238232555,2
Shaheen Shah Afridi,Pakistan,28,0.6666666666666666,5.6,1.9791734609476543,2.6736987528600435,1,0.0,0.0,0.1251957714590336,1.7084736486008285,2
N Dickwella,Sri Lanka,145,1.25,29.0,0.8184408602150538,2.463815195557131,0,0.0,0.0,0.032157832069216574,1.6781664536654772,2
