bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
JT Ball,England,-0.8695652173913043,7,2.3333333333333335,0.05,2,0.7822209483970475,0.3579417032485687,0.05504587155963303,0.35294117647058826,0.6248007306276218
KW Richardson,Australia,-1.051948051948052,6,1.5,0.024691358024691357,3,1.0,0.7622283448284692,0.024,0.2236842105263158,0.6211256364367073
YS Chahal,India,-0.5310344827586206,6,2.0,0.07792207792207792,3,0.8185997175913107,0.20038635701779292,0.06976744186046512,0.21212121212121213,0.6155031137069937
ST Gabriel,West Indies,-0.921161825726141,10,1.6666666666666667,0.04504504504504504,2,0.3679107550301953,0.737642090679175,0.08695652173913043,0.32432432432432434,0.6100267725492199
RAS Lakmal,Sri Lanka,-0.7753086419753087,12,1.5,0.03821656050955414,4,0.4505470207770822,0.462629515111259,0.1125,0.22959183673469385,0.6096471861477735
DAS Gunaratne,Sri Lanka,-0.6593406593406593,8,2.0,0.06666666666666667,3,0.4505470207770822,0.28414855602399414,0.1125,0.3061224489795918,0.6093186849437804
AR Patel,India,-0.5897435897435898,7,0.875,0.02766798418972332,6,0.8185997175913107,0.445841275469138,0.06976744186046512,0.10606060606060606,0.5977576416532704
D Wiese,South Africa,-0.9886363636363636,4,1.3333333333333333,0.022988505747126436,3,0.9806597835166322,0.7822209483970474,0.030120481927710843,0.17799352750809064,0.5945134225745918
JP Duminy,South Africa,-0.9675675675675676,6,0.6666666666666666,0.0335195530726257,5,0.9806597835166322,0.7242269398286043,0.030120481927710843,0.10679611650485438,0.584530490914261
NM Lyon,Australia,-0.9303135888501742,6,1.2,0.02247191011235955,2,1.0,0.6872633989013062,0.016,0.2236842105263158,0.5819627039728512
Mohammad Amir,Pakistan,-0.821656050955414,9,1.5,0.03488372093023256,3,0.5440987190042532,0.5512813044602137,0.0847457627118644,0.1851851851851852,0.5662252092066891
MM Ali,England,-0.8338709677419355,6,0.5454545454545454,0.01160541586073501,7,0.7822209483970475,0.6435734019638253,0.045871559633027525,0.08403361344537816,0.5612156381831823
Wahab Riaz,Pakistan,-1.0234113712374582,5,1.0,0.016339869281045753,2,0.5440987190042532,0.5786755266788862,0.11864406779661017,0.3888888888888889,0.5610330984856862
MA Wood,England,-0.9891891891891892,6,2.0,0.03278688524590164,2,0.7822209483970475,0.5440987190042532,0.03669724770642202,0.23529411764705882,0.5609967445139987
DS Kulkarni,India,-0.7575757575757576,6,1.5,0.04,3,0.8185997175913107,0.298568324398331,0.06976744186046512,0.21212121212121213,0.5600014411261336
CJ Chibhabha,Zimbabwe,-0.57,6,1.0,0.05263157894736842,1,0.20038635701779292,0.623896686053843,0.1,0.4,0.5586666123846289
Mohammad Nabi,Afghanistan,-0.6321353065539113,13,1.4444444444444444,0.043478260869565216,4,0.4185169713860216,0.18610935342212057,0.1095890410958904,0.2,0.5578912221865522
J Yadav,India,-0.3333333333333333,1,1.0,0.125,1,0.8185997175913107,0.5931142265399452,0.011627906976744186,0.10606060606060606,0.557693793881757
TM Head,Australia,-0.9869706840390879,6,0.5454545454545454,0.019801980198019802,5,1.0,0.6617242204804494,0.02,0.1118421052631579,0.553206346869189
BB Sran,India,-0.8675078864353313,7,1.1666666666666667,0.025454545454545455,3,0.8185997175913107,0.6001931785088965,0.046511627906976744,0.1414141414141414,0.550686492542614
CP Tremain,Australia,-1.0321285140562249,7,1.75,0.027237354085603113,0,1.0,0.9806597835166322,0.0,0.0,0.5416715589009875
JDS Neesham,New Zealand,-1.0495049504950495,10,1.1111111111111112,0.031446540880503145,4,0.5931142265399452,0.7053582200123275,0.03821656050955414,0.15168539325842695,0.5398899587225097
BA Stokes,England,-0.8888888888888888,7,0.7,0.019444444444444445,5,0.7822209483970475,0.6628760400824996,0.03669724770642202,0.09411764705882353,0.5394572603239289
SM Sharif,Scotland,-0.7333333333333333,5,1.6666666666666667,0.050505050505050504,3,0.7168176531496389,0.18076175943869002,0.1111111111111111,0.16666666666666669,0.5372255923959492
DJ Willey,England,-0.8753315649867374,5,0.625,0.015151515151515152,5,0.7822209483970475,0.5833118066366342,0.05504587155963303,0.1411764705882353,0.5335295386057466
CJ Anderson,New Zealand,-0.7080745341614907,4,0.8,0.03508771929824561,3,0.5931142265399452,0.8725396873191128,0.025477707006369428,0.1348314606741573,0.531424042230924
KJ O'Brien,Ireland,-1.0052083333333333,9,1.2857142857142858,0.023316062176165803,1,0.0,0.6044080624937189,0.21428571428571427,0.3333333333333333,0.5300063610417438
N Madziva,Zimbabwe,-0.84375,7,1.75,0.05185185185185185,2,0.20038635701779292,0.5185376579373439,0.125,0.25,0.5258496880449015
KMDN Kulasekara,Sri Lanka,-0.7915194346289752,10,2.0,0.044642857142857144,3,0.4505470207770822,0.34594169012718434,0.0625,0.17006802721088435,0.5225975420093047
NM Coulter-Nile,Australia,-0.8685714285714285,5,1.6666666666666667,0.03289473684210526,1,1.0,0.5721604311923411,0.004,0.1118421052631579,0.5214870764163599
Dawlat Zadran,Afghanistan,-0.8590476190476191,17,1.8888888888888888,0.037694013303769404,4,0.4185169713860216,0.18610935342212057,0.0684931506849315,0.125,0.5191343998481142
Hasan Ali,Pakistan,-0.9613259668508287,8,1.1428571428571428,0.022988505747126436,4,0.5440987190042532,0.552100757664083,0.0847457627118644,0.1388888888888889,0.5186331710341776
KS Williamson,New Zealand,-0.7213114754098361,5,0.8333333333333334,0.056818181818181816,4,0.5931142265399452,0.6184215243797454,0.03184713375796178,0.12640449438202248,0.5175584826388955
GJ Maxwell,Australia,-0.9551569506726457,3,0.3,0.014084507042253521,7,1.0,0.6770222843562099,0.004,0.015977443609022556,0.5143723846566504
Mirwais Ashraf,Afghanistan,-0.6621004566210046,14,1.5555555555555556,0.04827586206896552,4,0.4185169713860216,0.18610935342212057,0.0684931506849315,0.125,0.5140284198549192
Umar Gul,Pakistan,-0.9032258064516129,5,1.6666666666666667,0.03571428571428571,2,0.5440987190042532,0.5214806322646983,0.06779661016949153,0.2222222222222222,0.5132534456098008
Shakib Al Hasan,Bangladesh,-0.8879837067209776,14,1.5555555555555556,0.03211009174311927,3,0.3579417032485687,0.5979507154410048,0.05357142857142857,0.1,0.5124433323245541
Mosharraf Hossain,Bangladesh,-0.7121212121212122,3,1.5,0.06382978723404255,1,0.3579417032485687,0.6003689598915345,0.05357142857142857,0.3,0.5104882739010081
Amir Hamza,Afghanistan,-0.6166666666666667,7,2.3333333333333335,0.06306306306306306,1,0.4185169713860216,0.20038635701779292,0.0410958904109589,0.3,0.5089029437983754
BJ McCarthy,Ireland,-1.0242214532871972,13,2.1666666666666665,0.04391891891891892,1,0.0,0.5416994423232334,0.14285714285714285,0.2222222222222222,0.5075014158802529
HH Pandya,India,-0.844311377245509,4,1.0,0.028368794326241134,2,0.8185997175913107,0.5931142265399452,0.03488372093023256,0.1590909090909091,0.5054417106792704
AD Mathews,Sri Lanka,-0.8013698630136986,5,1.25,0.042735042735042736,2,0.4505470207770822,0.75,0.0375,0.1530612244897959,0.49387243857056645
GD Elliott,New Zealand,-0.811965811965812,3,0.75,0.031578947368421054,3,0.5931142265399452,0.8860246797510634,0.01910828025477707,0.10112359550561797,0.4931228511100682
MD Dai,Papua New Guinea,-0.8145161290322581,5,2.5,0.04950495049504951,1,0.35380305724034034,0.3484584967684489,0.1,0.2,0.4928465113981911
M Morkel,South Africa,-0.9595375722543352,4,1.3333333333333333,0.024096385542168676,1,0.9806597835166322,0.6441175506080968,0.006024096385542169,0.10679611650485438,0.4924432376849828
IS Sodhi,New Zealand,-0.9635627530364372,6,1.2,0.025210084033613446,3,0.5931142265399452,0.7812692347102028,0.01910828025477707,0.10112359550561797,0.48999077653585305
D Pretorius,South Africa,-0.8623853211009175,2,0.6666666666666666,0.02127659574468085,3,0.9806597835166322,0.6666666666666666,0.012048192771084338,0.07119741100323625,0.4892693803505695
JM Mennie,Australia,-1.1065573770491803,3,1.5,0.022222222222222223,0,1.0,0.9806597835166322,0.0,0.0,0.4891346529713915
